Date,NELSON:open,NELSON:low,NELSON:high,NELSON:close,NELSON:volume,NELSON:average,NELSON:price_norm,NELSON:current_date,NELSON:sentiment,NELSON:volume_adi,NELSON:volume_obv,NELSON:volume_cmf,NELSON:volume_fi,NELSON:volume_em,NELSON:volume_sma_em,NELSON:volume_vpt,NELSON:volume_nvi,NELSON:volatility_atr,NELSON:volatility_bbm,NELSON:volatility_bbh,NELSON:volatility_bbl,NELSON:volatility_bbw,NELSON:volatility_bbhi,NELSON:volatility_bbli,NELSON:volatility_kcc,NELSON:volatility_kch,NELSON:volatility_kcl,NELSON:volatility_kchi,NELSON:volatility_kcli,NELSON:volatility_dcl,NELSON:volatility_dch,NELSON:volatility_dchi,NELSON:volatility_dcli,NELSON:trend_macd,NELSON:trend_macd_signal,NELSON:trend_macd_diff,NELSON:trend_ema_fast,NELSON:trend_ema_slow,NELSON:trend_adx,NELSON:trend_adx_pos,NELSON:trend_adx_neg,NELSON:trend_vortex_ind_pos,NELSON:trend_vortex_ind_neg,NELSON:trend_vortex_ind_diff,NELSON:trend_trix,NELSON:trend_mass_index,NELSON:trend_cci,NELSON:trend_dpo,NELSON:trend_kst,NELSON:trend_kst_sig,NELSON:trend_kst_diff,NELSON:trend_ichimoku_a,NELSON:trend_ichimoku_b,NELSON:trend_visual_ichimoku_a,NELSON:trend_visual_ichimoku_b,NELSON:trend_aroon_up,NELSON:trend_aroon_down,NELSON:trend_aroon_ind,NELSON:trend_psar,NELSON:trend_psar_up,NELSON:trend_psar_down,NELSON:trend_psar_up_indicator,NELSON:trend_psar_down_indicator,NELSON:momentum_rsi,NELSON:momentum_mfi,NELSON:momentum_tsi,NELSON:momentum_uo,NELSON:momentum_stoch,NELSON:momentum_stoch_signal,NELSON:momentum_wr,NELSON:momentum_ao,NELSON:momentum_kama,NELSON:momentum_roc,NELSON:others_dr,NELSON:others_dlr,NELSON:others_cr
2018-08-24,0.49,0.43,0.49,0.43,61,0.442,0.8775510204081632,2018-08-24,0.04057999999999999,-2759.6190476190395,10184,-0.20605776736924267,-3.3753007625326865,491.803278688525,-248.07967695323703,25.92191659272401,1530.2479544475568,0.0326569641905875,0.5010000000000012,0.5523419906119851,0.4496580093880174,0.10268398122396766,0.0,1.0,0.48999999999999916,0.48999999999999916,0.45699999999999996,0.0,1.0,0.43,0.55,0.0,1.0,-0.017400593368966044,-0.011413385392446247,-0.005987207976519797,0.484597567868159,0.501998161237125,,13.207609315367444,25.254388987600517,0.818181818181818,1.0681818181818183,-0.25000000000000033,-0.3037409254310583,26.40586576472665,-222.2222222222209,0.008999999999998787,-70.04752679802625,-50.49120842239382,-19.556318375632436,0.48,0.51,0.5449999999999999,0.55,52.0,100.0,-48.0,0.5314677613240321,,0.5314677613240321,0.0,0.0,34.18645645239555,30.608573440053206,-16.846710460782763,35.4978354978355,7.692307692307695,23.846153846153825,-92.3076923076923,-0.03929411764706148,,-21.818181818181827,-12.244897959183676,-13.062018241706419,-39.43661971830986
2018-08-25,0.43,0.42,0.47,0.46,940,0.4266,1.0697674418604652,2018-08-25,-0.041080000000000005,-2195.6190476190377,11124,-0.10463796206562337,1.1354564892577006,-79.78723404255324,-258.8791611569766,58.112007593735235,1530.2479544475568,0.03439126777152875,0.4990000000000013,0.5533691088762838,0.44463089112371884,0.10873821775256493,0.0,0.0,0.4836666666666658,0.4836666666666658,0.44766666666666666,0.0,0.0,0.43,0.55,0.0,0.0,-0.018073859672998405,-0.01274548024855668,-0.005328379424441724,0.48081332665767296,0.49888718633067136,,11.681300621584642,24.647176932731515,0.8085106382978722,1.1276595744680853,-0.3191489361702131,-0.340108448657959,26.854887410114852,-175.43859649122606,0.010999999999998733,-75.91738722082786,-53.99800143252961,-21.91938578829825,0.4775,0.51,0.5449999999999999,0.55,48.0,96.0,-48.0,0.5247796956445901,,0.5247796956445901,0.0,0.0,41.76823176288719,28.192338039225177,-16.8245861137727,41.11656300489819,30.76923076923078,30.769230769230756,-69.23076923076921,-0.04964705882353204,,-9.803921568627448,6.976744186046524,6.744128079553269,-35.2112676056338
2018-08-26,0.46,0.43,0.46,0.43,53,0.4523,0.9347826086956521,2018-08-26,-0.006409999999999999,-2248.6190476190377,11071,-0.11223980016652756,0.7461055622208861,1.5710703178657888e-12,-269.13557141338674,62.12487360970684,1430.4491748096725,0.03395214099437587,0.4955000000000013,0.5576208499619995,0.4333791500380031,0.12424169992399636,0.0,1.0,0.47666666666666585,0.47666666666666585,0.44066666666666665,0.0,1.0,0.43,0.55,0.0,1.0,-0.020788540000396927,-0.014354092198924731,-0.006434447801472195,0.47299589178726176,0.4937844317876587,,10.869649074201204,22.93461769432617,0.7916666666666664,1.1875,-0.3958333333333336,-0.3841650878825988,27.113517556925924,-163.79310344827417,0.024499999999998745,-87.49222998812346,-58.74514521697846,-28.747084771144998,0.4775,0.51,0.5449999999999999,0.55,44.0,92.0,-48.0,0.5184929139059148,,0.5184929139059148,0.0,0.0,37.1582843421204,22.90982071256323,-18.541147374163415,37.3249299719888,7.692307692307695,15.384615384615378,-92.3076923076923,-0.053147058823532156,,-15.686274509803924,-6.521739130434789,-6.744128079553269,-39.43661971830986
2018-08-27,0.43,0.42,0.46,0.43,502,0.4461,1.0,2018-08-27,-0.054310000000000004,-2499.6190476190377,11573,-0.21876563803169272,0.6395190533321882,-39.840637450199274,-231.1745948069917,-3.4565217391304377,1430.4491748096725,0.03455692689493829,0.49100000000000127,0.5582011904656555,0.423798809534347,0.13440238093130852,0.0,0.0,0.46966666666666584,0.46966666666666584,0.4306666666666666,0.0,1.0,0.43,0.55,0.0,1.0,-0.022678519858040813,-0.01601897773074795,-0.006659542127292865,0.4663811392046061,0.4890596590626469,,9.883561865606131,23.121987779466956,0.8124999999999998,1.1875,-0.3750000000000002,-0.4310358761096764,27.380017398716166,-141.66666666666538,0.008999999999998731,-103.34377205535179,-65.47419212469599,-37.8695799306558,0.4775,0.51,0.5449999999999999,0.55,40.0,88.0,-48.0,0.51258333907156,,0.51258333907156,0.0,0.0,37.1582843421204,21.273894111982912,-19.81534181284576,38.246031746031754,8.333333333333337,15.59829059829059,-91.66666666666666,-0.05805882352941444,,-17.307692307692314,0.0,0.0,-39.43661971830986
2018-08-28,0.43,0.39,0.45,0.39,1570,0.4256,0.9069767441860466,2018-08-28,0.015029999999999977,-4069.6190476190377,10003,-0.3520636384597645,-8.42326938285812,-76.43312101910824,-235.57097291188256,-146.0465116279069,1430.4491748096725,0.037101234205444464,0.48550000000000126,0.5656186619958259,0.4053813380041766,0.1602373239916493,0.0,1.0,0.46033333333333254,0.46033333333333254,0.4163333333333332,0.0,1.0,0.39,0.55,0.0,1.0,-0.027091711827898157,-0.01823352455017799,-0.008858187277720166,0.4546301947115898,0.48172190653948793,,8.620287978356156,26.557418390524575,0.764705882352941,1.1764705882352942,-0.41176470588235314,-0.49240328977489023,27.82511314851261,-168.0942184154167,0.024499999999998745,-119.32621488485341,-73.96194127936337,-45.36427360549004,0.4625,0.495,0.5449999999999999,0.55,36.0,100.0,-64.0,0.5070283387272664,,0.5070283387272664,0.0,0.0,31.74103240209378,19.430142573080488,-22.880408251095087,34.912384912384915,0.0,5.341880341880331,-100.0,-0.060941176470590996,,-21.999999999999996,-9.302325581395344,-9.763846956391598,-45.070422535211264
2018-08-29,0.39,0.33,0.46,0.44,1275,0.4343,1.1282051282051282,2018-08-29,0.12558,-3186.92673992673,11278,-0.2514308407132359,1.887197671835894,-254.90196078431367,-246.503281057813,17.415026833631515,1613.8400946570664,0.04639111078490002,0.48150000000000126,0.5623146026408683,0.4006853973591342,0.16162920528173408,0.0,0.0,0.4513333333333326,0.4513333333333326,0.39433333333333326,0.0,0.0,0.39,0.55,0.0,0.0,-0.026251999418778982,-0.019837219523898192,-0.00641477989488079,0.45237939552519135,0.47863139494397033,,6.639998076512043,31.059194677971004,0.7258064516129031,1.096774193548387,-0.3709677419354839,-0.5414326310961225,28.24362460444324,-142.09763170613763,0.01849999999999874,-129.8194503212631,-83.72690044398217,-46.09254987728093,0.43000000000000005,0.46499999999999997,0.5449999999999999,0.55,32.0,96.0,-64.0,0.49766607162908505,,0.49766607162908505,0.0,0.0,42.93939333755354,20.441726337087687,-21.262520465869994,48.1117287931351,54.999999999999986,21.111111111111097,-45.00000000000001,-0.0698235294117675,,-13.725490196078432,12.82051282051282,12.062798778861472,-38.0281690140845
2018-08-30,0.44,0.42,0.47,0.45,1337,0.4415,1.0227272727272727,2018-08-30,0.08253,-2919.526739926728,12615,-0.18693367238821745,3.527598004430768,186.98578908002972,-233.76811046923928,193.84790209790208,1613.8400946570664,0.046751999706410016,0.47850000000000126,0.5593146026408685,0.397685397359134,0.16162920528173452,0.0,0.0,0.4453333333333325,0.4453333333333325,0.3853333333333332,0.0,0.0,0.39,0.55,0.0,0.0,-0.024497216198884675,-0.02076921885889549,-0.0037279973399891864,0.4520133346751619,0.4765105508740466,,7.8007794161615625,28.360622191739036,0.8749999999999998,1.0937500000000002,-0.21875000000000044,-0.5754291514872449,28.680395484112438,-64.11483253588457,0.021499999999998742,-137.6127681145809,-93.5655418472617,-44.04722626731919,0.43000000000000005,0.46499999999999997,0.5325,0.5449999999999999,28.000000000000004,92.0,-64.0,0.48089946446617654,,0.48089946446617654,0.0,0.0,44.886836386424676,39.586205290611026,-19.337993918457308,45.24838161070881,63.1578947368421,39.385964912280684,-36.8421052631579,-0.06747058823529695,,-9.999999999999998,2.2727272727272707,2.2472855852058604,-36.61971830985915
2018-08-31,0.45,0.43,0.47,0.47,567,0.4554,1.0444444444444443,2018-08-31,-0.03478000000000001,-2352.526739926728,13182,-0.14467832910978462,4.6436554323692265,35.27336860670196,25.355481987686954,55.586363636363615,1685.566321086269,0.04607679973576902,0.4755000000000013,0.552823993688903,0.3981760063110997,0.15464798737780333,0.0,0.0,0.44399999999999923,0.44399999999999923,0.3849999999999999,0.0,0.0,0.39,0.55,0.0,0.0,-0.021247773890433197,-0.02086492986520303,-0.0003828440252301654,0.45478051395590624,0.47602828784633944,,7.257520527939931,26.385542618377762,0.8955223880597011,1.0597014925373134,-0.1641791044776123,-0.5891717001421498,29.108770094647202,-40.11271340958008,0.02449999999999869,-135.7032098576888,-101.9584307777265,-33.744779079962285,0.42500000000000004,0.44999999999999996,0.525,0.5449999999999999,24.0,88.0,-64.0,0.33,0.33,,1.0,0.0,48.66075506286221,44.61870114720282,-16.478128231601747,53.27786692458181,73.68421052631577,63.9473684210526,-26.315789473684234,-0.06411764705882633,,-6.000000000000005,4.444444444444429,4.348511193973881,-33.80281690140845
2018-09-01,0.47,0.4,0.47,0.42,1905,0.411,0.8936170212765958,2018-09-01,-0.24436,-3168.955311355301,11277,-0.21323844799071573,-9.626866772254946,-55.118110236220375,21.11562735413154,-177.45957446808512,1685.566321086269,0.048469119762192106,0.4690000000000013,0.5419109045342434,0.3960890954657592,0.1458218090684842,0.0,0.0,0.4396666666666659,0.4396666666666659,0.3796666666666666,0.0,0.0,0.39,0.52,0.0,0.0,-0.022448378647168532,-0.02118161962159613,-0.001266759025572401,0.4494296656549976,0.4718780443021661,,6.415501019826382,28.29658216383873,0.8630136986301368,1.0547945205479452,-0.19178082191780843,-0.6068660526631025,29.313832525270616,-86.80372518010822,-0.009000000000001285,-143.43422517182432,-111.41075382361556,-32.02347134820876,0.42500000000000004,0.44500000000000006,0.5225,0.5449999999999999,20.0,84.0,-64.0,0.33280000000000004,0.33280000000000004,,0.0,0.0,41.0861891449997,35.43154726558922,-16.743002429562026,48.59295499021526,47.36842105263156,61.403508771929786,-52.63157894736844,-0.062029411764708664,,-16.000000000000004,-10.638297872340418,-11.247798342669025,-40.845070422535215
2018-09-02,0.42,0.41,0.44,0.44,500,0.4194,1.0476190476190477,2018-09-02,0.26288,-2668.955311355301,11777,-0.1632740026824997,-6.823028661932811,-60.00000000000011,15.321653971693564,-178.85005065856126,1765.831383995139,0.0466222077859729,0.46550000000000125,0.5369072825417799,0.3940927174582226,0.14281456508355728,0.0,0.0,0.43599999999999917,0.43599999999999917,0.38,0.0,0.0,0.39,0.52,0.0,0.0,-0.021537759825269842,-0.021252847662330876,-0.00028491216293896615,0.44797894786192105,0.4695167076871909,,6.089425567798449,26.85837479836488,0.8815789473684209,1.0789473684210524,-0.19736842105263153,-0.6177742633609392,29.341795932597815,-79.78142076502654,-0.005500000000001226,-151.04248444069873,-120.41019356169029,-30.632290879008437,0.42000000000000004,0.44500000000000006,0.5225,0.5449999999999999,16.0,80.0,-64.0,0.33554400000000006,0.33554400000000006,,0.0,0.0,44.78834218944815,35.43154726558922,-15.640162975467378,53.49764842063551,57.89473684210525,59.649122807017505,-42.10526315789475,-0.057794117647061605,,-4.347826086956525,4.761904761904767,4.652001563489283,-38.0281690140845
2018-09-03,0.44,0.44,0.45,0.44,221,0.4411,1.0,2018-09-03,-0.27301,-2889.955311355301,11998,-0.1267635145896013,-5.848310281656695,90.49773755656125,-15.808206879529573,23.80952380952383,1765.831383995139,0.04295998700737561,0.46200000000000124,0.531166465863174,0.39283353413682853,0.13833293172634542,0.0,0.0,0.43533333333333246,0.43533333333333246,0.3843333333333333,0.0,0.0,0.39,0.52,0.0,0.0,-0.02057886747392168,-0.02111805162464904,0.0005391841507273593,0.4467514174216255,0.4673302848955472,,7.772150149830462,26.377116454670407,0.9199999999999998,1.0933333333333333,-0.17333333333333345,-0.6225597122324892,29.09708510802332,-45.06604506604423,0.027999999999998748,-148.44026459032568,-128.46829104719006,-19.97197354313562,0.42000000000000004,0.44500000000000006,0.5225,0.5449999999999999,12.0,76.0,-64.0,0.33823312000000005,0.33823312000000005,,0.0,0.0,44.78834218944815,36.69972431171488,-14.802282338411066,54.66300366300367,61.1111111111111,55.45808966861595,-38.88888888888889,-0.04514705882353226,,-4.347826086956525,0.0,0.0,-38.0281690140845
2018-09-04,0.44,0.41,0.46,0.44,1610,0.4293,1.0,2018-09-04,0.09445999999999999,-2567.955311355301,13608,-0.11071913415098596,-5.012837384277168,-31.055900621118067,-7.635795553511585,0.0,1765.831383995139,0.043663988306638056,0.45800000000000124,0.5223739077577371,0.3936260922422654,0.12874781551547165,0.0,0.0,0.4339999999999991,0.4339999999999991,0.38299999999999995,0.0,0.0,0.39,0.51,0.0,0.0,-0.0195930815294304,-0.020813057605605312,0.0012199760761749112,0.44571273781829845,0.46530581934772886,,7.08825063551764,29.335715205744346,0.9466666666666663,1.053333333333333,-0.10666666666666669,-0.6218980311208753,29.006978076012754,-55.555555555554704,-0.028000000000001246,-152.06636738457019,-135.6431952023508,-16.42317218221939,0.42000000000000004,0.44500000000000006,0.52,0.5449999999999999,8.0,72.0,-64.0,0.34086845760000006,0.34086845760000006,,0.0,0.0,44.78834218944815,35.4814381233256,-14.145725803342701,60.69343169243865,61.1111111111111,60.038986354775794,-38.88888888888889,-0.044352941176473315,,-10.20408163265306,0.0,0.0,-38.0281690140845
2018-09-05,0.44,0.42,0.47,0.46,1244,0.4565,1.0454545454545454,2018-09-05,-0.015390000000000004,-1821.555311355299,14852,-0.007898468827970975,-0.7424320436661414,40.192926045015994,-6.727195655476692,56.5454545454546,1846.0964469040089,0.044297589475974244,0.4560000000000013,0.5174491659829623,0.3945508340170402,0.12289833196592209,0.0,0.0,0.43499999999999905,0.43499999999999905,0.38199999999999995,0.0,0.0,0.39,0.51,0.0,0.0,-0.017002017538396696,-0.020050849592163588,0.0030488320537668916,0.44791077815394487,0.46491279569234156,,8.205888309477405,26.796423311132134,0.9594594594594591,1.0540540540540537,-0.09459459459459463,-0.6085181350617778,28.925160060946062,-16.43192488262823,0.003999999999998727,-143.00642881502213,-140.0501570645364,-2.9562717504857403,0.42000000000000004,0.44500000000000006,0.5175000000000001,0.5449999999999999,4.0,68.0,-64.0,0.34345108844800004,0.34345108844800004,,0.0,0.0,48.80632100945434,36.14253609717589,-12.364814914147674,59.48401875007381,81.25000000000001,67.82407407407403,-18.749999999999986,-0.043000000000002814,,6.976744186046519,4.545454545454541,4.445176257083395,-35.2112676056338
2018-09-06,0.46,0.45,0.49,0.45,1345,0.4729,0.9782608695652174,2018-09-06,0.34043,-3166.5553113552987,13507,-0.09151211401914715,-2.55779889457098,74.3494423791822,22.9975413001792,27.306324110671966,1846.0964469040089,0.04386783052837682,0.4530000000000013,0.5092494444417158,0.39675055555828675,0.11249888888342907,0.0,0.0,0.4376666666666657,0.4376666666666657,0.3846666666666666,0.0,0.0,0.39,0.5,0.0,0.0,-0.015575947260083711,-0.019155869125747613,0.0035799218656639015,0.4482321968994918,0.4638081441595755,,11.106363573956504,24.936774670530106,1.0422535211267603,0.9999999999999997,0.04225352112676062,-0.5898639978024754,28.818917631952093,30.5907172995791,-0.023000000000001297,-135.44866641355665,-141.84154056772564,6.392874154168993,0.42500000000000004,0.44500000000000006,0.5175000000000001,0.5449999999999999,12.0,64.0,-52.0,0.34598206667904,0.34598206667904,,0.0,0.0,46.96591219339763,46.7332126719261,-11.431037432887353,52.23497726168927,75.00000000000001,72.45370370370368,-24.999999999999993,-0.034529411764708806,,-2.1739130434782625,-2.1739130434782594,-2.1978906718775337,-36.61971830985915
2018-09-07,0.45,0.44,0.47,0.44,213,0.4513,0.9777777777777777,2018-09-07,-0.44501,-3379.5553113552987,13294,-0.10234348058662335,-2.496684766775126,-211.26760563380282,-27.22180757998707,-33.972463768115965,1805.072081417253,0.04248104747553914,0.45000000000000123,0.5021536192416374,0.3978463807583651,0.10430723848327228,0.0,0.0,0.4416666666666657,0.4416666666666657,0.39166666666666655,0.0,0.0,0.39,0.5,0.0,0.0,-0.01507887285673215,-0.01834046987194452,0.003261597015212371,0.44696570506880073,0.4620445779255329,,10.516860431716834,25.382446891033407,1.014705882352941,1.029411764705882,-0.014705882352941124,-0.5713068547090613,28.49470703271208,-3.7105751391453405,-0.02000000000000124,-126.1682157717615,-141.43584784000325,15.267632068241753,0.4425,0.44500000000000006,0.5225,0.5449999999999999,8.0,60.0,-52.0,0.3517427840118784,0.3517427840118784,,0.0,0.0,45.1330995327354,46.04450004775916,-11.176540553305196,45.70078031212487,68.75,74.99999999999999,-31.25,-0.026911764705885133,,2.325581395348839,-2.2222222222222254,-2.2472855852058604,-38.0281690140845
2018-09-08,0.44,0.44,0.47,0.47,133,0.4695,1.0681818181818181,2018-09-08,-0.02148999999999998,-3246.5553113552987,13427,-0.0933604720137405,-1.5700155143786803,0.0,-21.522719434090412,4.3348484848484725,1928.1451778775202,0.04123294272798522,0.4485000000000013,0.49636439177511504,0.40063560822488753,0.09572878355022751,0.0,0.0,0.4466666666666657,0.4466666666666657,0.40666666666666657,0.0,0.0,0.39,0.5,0.0,0.0,-0.012124425699043817,-0.01709726103736438,0.004972835338320564,0.4505094427505237,0.4626338684495675,,9.94821186699033,24.010013350857896,1.03030303030303,0.9999999999999997,0.030303030303030387,-0.5404201251949232,28.140870342657198,46.511627906978006,-0.05850000000000127,-113.23907619269032,-138.72765984868207,25.488583655991746,0.44000000000000006,0.44500000000000006,0.5225,0.5449999999999999,4.0,56.00000000000001,-52.00000000000001,0.3572730726514033,0.3572730726514033,,0.0,0.0,51.27613450925915,46.74646306911821,-9.094596504375552,52.24495268743059,87.49999999999999,77.08333333333331,-12.500000000000012,-0.023588235294120297,,9.302325581395344,6.818181818181812,6.595796779179741,-33.80281690140845
