Date,WARREN:open,WARREN:low,WARREN:high,WARREN:close,WARREN:volume,WARREN:average,WARREN:price_norm,WARREN:current_date,WARREN:sentiment,WARREN:volume_adi,WARREN:volume_obv,WARREN:volume_cmf,WARREN:volume_fi,WARREN:volume_em,WARREN:volume_sma_em,WARREN:volume_vpt,WARREN:volume_nvi,WARREN:volatility_atr,WARREN:volatility_bbm,WARREN:volatility_bbh,WARREN:volatility_bbl,WARREN:volatility_bbw,WARREN:volatility_bbhi,WARREN:volatility_bbli,WARREN:volatility_kcc,WARREN:volatility_kch,WARREN:volatility_kcl,WARREN:volatility_kchi,WARREN:volatility_kcli,WARREN:volatility_dcl,WARREN:volatility_dch,WARREN:volatility_dchi,WARREN:volatility_dcli,WARREN:trend_macd,WARREN:trend_macd_signal,WARREN:trend_macd_diff,WARREN:trend_ema_fast,WARREN:trend_ema_slow,WARREN:trend_adx,WARREN:trend_adx_pos,WARREN:trend_adx_neg,WARREN:trend_vortex_ind_pos,WARREN:trend_vortex_ind_neg,WARREN:trend_vortex_ind_diff,WARREN:trend_trix,WARREN:trend_mass_index,WARREN:trend_cci,WARREN:trend_dpo,WARREN:trend_kst,WARREN:trend_kst_sig,WARREN:trend_kst_diff,WARREN:trend_ichimoku_a,WARREN:trend_ichimoku_b,WARREN:trend_visual_ichimoku_a,WARREN:trend_visual_ichimoku_b,WARREN:trend_aroon_up,WARREN:trend_aroon_down,WARREN:trend_aroon_ind,WARREN:trend_psar,WARREN:trend_psar_up,WARREN:trend_psar_down,WARREN:trend_psar_up_indicator,WARREN:trend_psar_down_indicator,WARREN:momentum_rsi,WARREN:momentum_mfi,WARREN:momentum_tsi,WARREN:momentum_uo,WARREN:momentum_stoch,WARREN:momentum_stoch_signal,WARREN:momentum_wr,WARREN:momentum_ao,WARREN:momentum_kama,WARREN:momentum_roc,WARREN:others_dr,WARREN:others_dlr,WARREN:others_cr
2018-03-30,0.85,0.85,0.85,0.85,0,0.0,1.0,2018-03-30,0.005100000000000016,-8288.333333333332,1171,-0.584459797737058,-25.806722578893034,,4.743522076411539,-229.8829787234042,1119.638092142709,0.012975693368253879,0.9155000000000018,0.9642749935930303,0.8667250064069733,0.09754998718605701,0.0,1.0,0.9146666666666668,0.9146666666666668,0.9006666666666664,0.0,1.0,0.85,0.94,0.0,1.0,-0.007851468201270029,-0.0007569582107101166,-0.0070945099905599125,0.9065692961183696,0.9144207643196396,21.36094667553085,27.08423461101938,68.63348742510978,0.624999999999999,1.5625000000000009,-0.9375000000000019,-0.007812927387720426,26.384391968557743,-325.20325203252867,0.02449999999999819,-9.454110138760472,1.850405259099083,-11.304515397859554,0.895,0.9099999999999999,0.9275,0.925,4.0,96.0,-92.0,0.9468389991562177,,0.9468389991562177,0.0,0.0,26.603481082198925,18.037613723536424,-14.514339795469958,24.461038961038906,0.0,33.33333333333341,-100.0,-0.010029411764705398,0.89812664575634,-7.608695652173919,0.0,0.0,6.25
2018-03-31,0.85,0.85,0.85,0.85,0,0.0,1.0,2018-03-31,-0.22924000000000003,-8288.333333333332,1171,-0.5848111411682194,-22.12004792476546,,4.743522076411539,0.0,1119.638092142709,0.011678124031428492,0.9125000000000018,0.9690243310442519,0.8559756689557516,0.11304866208850028,0.0,1.0,0.9073333333333334,0.9073333333333334,0.8963333333333331,0.0,1.0,0.85,0.94,0.0,1.0,-0.011782528366743983,-0.0029620722419168902,-0.008820456124827092,0.8978663274847742,0.9096488558515182,22.935743962058904,27.08423461101938,68.63348742510978,0.5624999999999988,1.437500000000001,-0.8750000000000023,-0.0383975298468288,26.341471257956606,-241.61922833650303,0.027499999999998193,-13.995854725570284,0.0790827932727198,-14.074937518843004,0.895,0.9099999999999999,0.9275,0.925,4.0,92.0,-88.0,0.942965439189969,,0.942965439189969,0.0,0.0,26.603481082198925,18.037613723536424,-20.886052811063422,24.461038961038906,0.0,7.579122514774402e-14,-100.0,-0.023676470588234855,0.8884802453981723,-9.57446808510638,0.0,0.0,6.25
2018-04-01,0.85,0.85,0.88,0.88,1,0.88,1.035294117647059,2018-04-01,-0.017120000000000003,-8287.333333333332,1172,-0.5843349358974357,-18.95575536408468,45000.00000000008,5629.15058181687,0.03529411764705886,1119.638092142709,0.013510311628285646,0.9110000000000017,0.9692752091373354,0.852724790862668,0.1165504182746675,0.0,0.0,0.9023333333333333,0.9023333333333333,0.8883333333333331,0.0,1.0,0.85,0.94,0.0,0.0,-0.012334982589075283,-0.0048366543113485694,-0.0074983282777267134,0.895117661717886,0.9074526443069613,22.525838901079272,39.94114987600407,56.531647343508105,0.6315789473684202,1.2105263157894741,-0.5789473684210539,-0.06592802065091316,26.690795142799008,-137.74104683196174,0.008999999999998343,-17.182362944455935,-2.03419637786865,-15.148166566587285,0.895,0.9099999999999999,0.93,0.925,4.0,88.0,-84.0,0.9392468216223703,,0.9392468216223703,0.0,0.0,40.51589682309807,18.062891565695594,-20.591519273585753,38.56068743286786,33.33333333333337,11.1111111111112,-66.66666666666663,-0.03676470588235248,0.8880056889439331,-6.382978723404249,3.529411764705892,3.4685557987890054,9.999999999999986
2018-04-02,0.88,0.88,0.91,0.91,232,0.91,1.0340909090909092,2018-04-02,-0.35826,-8055.333333333332,1404,-0.4949903660886318,-15.25350459778687,387.93103448275934,5631.345664830919,7.944385026737975,1119.638092142709,0.015159280465457083,0.9110000000000017,0.9692752091373354,0.852724790862668,0.1165504182746675,0.0,0.0,0.9003333333333334,0.9003333333333334,0.8833333333333331,0.0,0.0,0.85,0.94,0.0,0.0,-0.01023408509843382,-0.00591614046876562,-0.0043179446296682,0.8974072522228266,0.9076413373212604,21.065224405424726,49.52567399386022,47.51001379129481,0.7999999999999997,1.1499999999999997,-0.35,-0.08376171435240419,27.252904066493283,-35.761942887648416,0.008999999999998343,-17.5224784256445,-4.176759281530501,-13.345719144114,0.895,0.9099999999999999,0.93,0.925,4.0,84.0,-80.0,0.9356769487574754,,0.9356769487574754,0.0,0.0,50.60002769685059,22.419171136336672,-15.975088033575307,42.6267281105991,66.66666666666674,33.33333333333345,-33.33333333333325,-0.04473529411764665,0.8882253539095825,-1.0869565217391313,3.409090909090917,3.3522692038643593,13.749999999999996
2018-04-03,0.91,0.91,0.91,0.91,0,0.0,1.0,2018-04-03,-0.000990000000000013,-8055.333333333332,1404,-0.4949903660886318,-13.074432512388746,,5631.345664830919,7.909090909090916,1119.638092142709,0.013643352418911375,0.9110000000000017,0.9692752091373354,0.852724790862668,0.1165504182746675,0.0,0.0,0.8993333333333334,0.8993333333333334,0.8823333333333331,0.0,0.0,0.85,0.94,0.0,0.0,-0.008471455040541587,-0.006427203383120814,-0.0020442516574207727,0.8993445980346995,0.907816053075241,19.708939516602644,49.52567399386022,47.51001379129481,0.8500000000000003,1.1499999999999997,-0.2999999999999994,-0.09417526364689974,27.63013519381563,-3.736322391251254,0.008999999999998343,-18.863210619753197,-6.621902260011393,-12.241308359741804,0.895,0.9099999999999999,0.93,0.925,40.0,80.0,-40.0,0.9322498708071764,,0.9322498708071764,0.0,0.0,50.60002769685058,22.419171136336672,-12.746994580931666,41.83673469387758,66.66666666666674,55.55555555555569,-33.33333333333325,-0.04114705882352876,0.888442825003507,-1.0869565217391313,0.0,0.0,13.749999999999996
2018-04-04,0.91,0.89,0.94,0.94,237,0.9065,1.0329670329670328,2018-04-04,0.08748000000000002,-7818.333333333332,1641,-0.3991524659633936,-10.19094215347607,105.48523206750934,5670.694109537033,7.813186813186791,1119.638092142709,0.017279017177020232,0.9125000000000018,0.9721238207430569,0.8528761792569466,0.11924764148611033,0.0,0.0,0.8996666666666668,0.8996666666666668,0.8776666666666664,1.0,0.0,0.85,0.94,1.0,0.0,-0.004600773883611353,-0.006061917483218922,0.0014611435996075691,0.9055992752601303,0.9102000491437416,19.56992867319729,51.994976377928396,36.30961862952598,0.909090909090909,1.0,-0.09090909090909105,-0.09260625360986138,27.684970280221812,36.33491311215956,0.007499999999998286,-18.62221329179935,-9.252920055496515,-9.369293236302836,0.895,0.9099999999999999,0.93,0.925,36.0,76.0,-40.0,0.85,0.85,,1.0,0.0,58.71675177587475,29.562527225368257,-6.7298737303629395,55.67099567099568,100.0,77.7777777777779,-0.0,-0.02770588235294047,0.8892449447245763,2.1739130434782505,3.296703296703285,3.243527575315376,17.499999999999982
2018-04-05,0.94,0.94,0.94,0.94,0,0.0,1.0,2018-04-05,-0.14718,-7818.333333333332,1641,-0.4000731395136221,-8.735093274408062,,5670.694109537033,7.813186813186791,1119.638092142709,0.01555111545931821,0.9135000000000018,0.9742536007163377,0.8527463992836658,0.12150720143267191,0.0,0.0,0.9003333333333334,0.9003333333333334,0.880333333333333,1.0,0.0,0.85,0.94,1.0,0.0,-0.0015157584599924112,-0.005152685678573621,0.0036369272185812094,0.9108916944508795,0.9124074529108719,19.440847175749457,51.994976377928396,36.30961862952598,1.0909090909090906,0.9090909090909095,0.1818181818181811,-0.08286923321391304,27.718712329805065,84.36213991769009,0.006499999999998285,-18.705029026789,-12.024555199477659,-6.68047382731134,0.895,0.9099999999999999,0.93,0.925,32.0,72.0,-40.0,0.8518,0.8518,,0.0,0.0,58.71675177587475,29.562527225368257,-2.3849323015135946,81.38528138528139,100.0,88.88888888888899,-0.0,-0.010294117647057899,0.8894562040597497,2.1739130434782505,0.0,0.0,17.499999999999982
2018-04-06,0.94,0.94,0.94,0.94,0,0.0,1.0,2018-04-06,0.034570000000000004,-7818.333333333332,1641,-0.4000731395136221,-7.487222806635482,,5670.694109537033,0.0,1119.638092142709,0.013996003913386387,0.9145000000000018,0.9762980582219231,0.8527019417780805,0.12359611644384261,0.0,0.0,0.9003333333333334,0.9003333333333334,0.880333333333333,1.0,0.0,0.85,0.94,1.0,0.0,0.0009185500167460114,-0.003938438539509695,0.004856988556255706,0.9153698953045903,0.9144513452878443,19.320985785262184,51.994976377928396,36.30961862952597,1.0909090909090906,0.9090909090909095,0.1818181818181811,-0.06789392597524799,27.741548484330607,79.07907907907435,0.02549999999999819,-18.78784476177865,-14.936807691954824,-3.8510370698238265,0.895,0.9099999999999999,0.93,0.925,28.000000000000004,68.0,-40.0,0.853564,0.853564,,0.0,0.0,58.71675177587475,29.562527225368257,0.8919418152961572,81.38528138528139,100.0,100.00000000000007,-0.0,0.0038235294117656693,0.8896665840636633,2.1739130434782505,0.0,0.0,17.499999999999982
2018-04-07,0.94,0.94,0.94,0.94,0,0.0,1.0,2018-04-07,0.34606000000000003,-7818.333333333332,1641,-0.4000731395136221,-6.4176195485447,,6480.793268042324,0.0,1119.638092142709,0.01259640352204775,0.9155000000000018,0.9782614531380545,0.852738546861949,0.1255229062761054,0.0,0.0,0.9003333333333334,0.9003333333333334,0.880333333333333,1.0,0.0,0.85,0.94,1.0,0.0,0.0028153039513216793,-0.0025876900413434197,0.0054029939926650995,0.9191591421808072,0.9163438382294855,19.20968592266686,51.994976377928396,36.30961862952597,1.0909090909090906,0.9090909090909095,0.1818181818181811,-0.04990526574762032,27.758023682955415,74.07407407406946,0.02449999999999819,-18.577620203728006,-16.856747126475476,-1.7208730772525307,0.895,0.9099999999999999,0.93,0.925,24.0,64.0,-40.0,0.85529272,0.85529272,,0.0,0.0,58.71675177587474,29.562527225368257,3.445221390449724,82.12121212121211,100.0,100.00000000000007,-0.0,0.011941176470589121,0.8898760883963848,0.0,0.0,0.0,17.499999999999982
2018-04-08,0.94,0.94,0.94,0.94,0,0.0,1.0,2018-04-08,-0.00030000000000000024,-7818.333333333332,1641,-0.42112100965107635,-5.500816755895457,,7560.92547938271,0.0,1119.638092142709,0.011336763169842974,0.9155000000000018,0.9782614531380545,0.852738546861949,0.1255229062761054,0.0,0.0,0.9063333333333332,0.9063333333333332,0.895333333333333,1.0,0.0,0.85,0.94,1.0,0.0,0.004269281490361765,-0.0012162957350023828,0.005485577225364148,0.9223654279991446,0.9180961465087828,19.106336050256914,51.9949763779284,36.30961862952597,1.0909090909090906,0.9090909090909095,0.1818181818181811,-0.030566471983641073,27.770468015105333,72.46376811593736,0.02449999999999819,-11.64880716164224,-17.100602351240116,5.451795189597876,0.895,0.895,0.9225,0.925,20.0,60.0,-40.0,0.8569868656,0.8569868656,,0.0,0.0,58.71675177587474,29.562527225368257,5.485701598185322,82.12121212121211,100.0,100.00000000000007,-0.0,0.01705882352941246,0.9121533824424359,0.0,0.0,0.0,17.499999999999982
2018-04-09,0.94,0.94,0.94,0.94,0,0.0,1.0,2018-04-09,0.03566999999999999,-7818.333333333332,1641,-0.42112100965107635,-4.7149857907675345,,9064.94730995313,0.0,1119.638092142709,0.010203086852858676,0.9155000000000018,0.9782614531380545,0.852738546861949,0.1255229062761054,0.0,0.0,0.9153333333333332,0.9153333333333332,0.904333333333333,1.0,0.0,0.85,0.94,1.0,0.0,0.005359784901400433,9.892039227818038e-05,0.005260864509122253,0.9250784390761992,0.9197186541747988,19.010368311590536,51.994976377928396,36.30961862952597,1.0999999999999996,1.0,0.09999999999999964,-0.011094243038465481,27.7801982987249,72.46376811593736,-0.06550000000000178,-5.314970332240305,-16.13605964087012,10.821089308629814,0.895,0.895,0.9225,0.925,16.0,56.00000000000001,-40.00000000000001,0.858647128288,0.858647128288,,0.0,0.0,58.71675177587474,16.891658013153332,7.149616227204432,80.95238095238095,100.0,100.00000000000007,-0.0,0.021617647058824185,0.9245296569124644,0.0,0.0,0.0,17.499999999999982
2018-04-10,0.94,0.94,0.95,0.95,53,0.9483,1.0106382978723405,2018-04-10,-0.038190000000000016,-7765.333333333332,1694,-0.40466472303207,-3.9657021063721727,94.3396226415096,9083.815234481432,0.5638297872340431,1119.638092142709,0.01018277816757281,0.9170000000000016,0.9815290632196082,0.852470936780395,0.12905812643921322,0.0,0.0,0.925,0.925,0.9129999999999997,1.0,0.0,0.85,0.95,1.0,0.0,0.006950808543651155,0.0014692980225527754,0.005481510521098379,0.9289125253721686,0.9219617168285175,19.372901042775563,55.283874713274315,33.821990559434006,1.0,0.9523809523809523,0.04761904761904767,0.00978100204549852,27.068471282520626,85.7946554149039,-0.06700000000000161,2.19858057758786,-13.982621471754143,16.181202049342005,0.9075,0.8999999999999999,0.9225,0.925,100.0,52.0,48.0,0.86027418572224,0.86027418572224,,0.0,0.0,61.96620703000658,18.470518324917094,9.531779954484145,81.76431863067809,100.0,100.00000000000007,-0.0,0.022470588235294797,0.9358498093958135,11.764705882352938,1.0638297872340496,1.058210933053695,18.74999999999998
2018-04-11,0.95,0.95,0.95,0.95,1,0.95,1.0,2018-04-11,-0.003430000000000005,-7765.333333333332,1695,-0.4045467793646168,-3.399173234033291,0.0,7569.846028734526,0.5638297872340431,1119.638092142709,0.009164500350815528,0.9185000000000014,0.9846135387042637,0.8523864612957391,0.13222707740852457,0.0,0.0,0.933,0.933,0.9239999999999997,1.0,0.0,0.85,0.95,1.0,0.0,0.008118125544917087,0.002799063527025638,0.00531906201789145,0.9321567522379889,0.9240386266930718,19.709538578875943,55.28387471327431,33.821990559434006,1.0476190476190477,0.9523809523809523,0.09523809523809534,0.030671365229835695,26.577512997910134,87.62420957542459,-0.06850000000000145,7.363843586059068,-11.217474581564858,18.581318167623927,0.9099999999999999,0.8999999999999999,0.9225,0.925,96.0,48.0,48.0,0.8638632182933504,0.8638632182933504,,0.0,0.0,61.96620703000658,18.50039408499636,11.493508308111682,81.76431863067809,100.0,100.00000000000007,-0.0,0.02417647058823602,0.9421387829976742,11.764705882352938,0.0,0.0,18.74999999999998
2018-04-12,0.95,0.95,0.95,0.95,0,0.0,1.0,2018-04-12,-0.14415,-7765.333333333332,1695,-0.4045467793646168,-2.9135770577428213,,9117.551177838366,0.0,1119.638092142709,0.008248050315733977,0.9200000000000014,0.9875277720645378,0.852472227935465,0.13505554412907284,0.0,0.0,0.938,0.938,0.9319999999999997,1.0,0.0,0.85,0.95,1.0,0.0,0.008940175895824298,0.004027286000785371,0.004912889895038928,0.9349018672782983,0.925961691382474,20.022130576683445,55.28387471327431,33.821990559434006,1.8333333333333333,0.9166666666666666,0.9166666666666666,0.05060089804463681,26.216995380957133,80.6100217864883,-0.04000000000000137,10.20594063005996,-7.987568887141173,18.193509517201132,0.9099999999999999,0.8999999999999999,0.925,0.9299999999999999,92.0,44.0,48.0,0.8673086895616164,0.8673086895616164,,0.0,0.0,61.96620703000658,100.0,13.132942607236444,94.00921658986177,100.0,100.00000000000007,-0.0,0.025882352941177245,0.94563265722093,11.764705882352938,0.0,0.0,18.74999999999998
2018-04-13,0.95,0.95,0.95,0.95,0,0.0,1.0,2018-04-13,0.15324999999999997,-7765.333333333332,1695,-0.4062042727538777,-2.4973517637795615,,9117.551177838366,0.0,1119.638092142709,0.007423245284160579,0.9215000000000012,0.9902822651560717,0.8527177348439308,0.1375645303121409,0.0,0.0,0.9419999999999998,0.9419999999999998,0.9359999999999996,1.0,0.0,0.85,0.95,1.0,0.0,0.009482350092166802,0.005118298819061657,0.004364051273105145,0.9372246569277909,0.9277423068356241,20.312394574647552,55.28387471327431,33.821990559434006,1.8333333333333333,0.16666666666666682,1.6666666666666665,0.06891565170470619,25.42542994917519,73.88748950461452,-0.011500000000001176,18.18976462236756,-3.897349118900405,22.087113741267963,0.9224999999999999,0.8999999999999999,0.925,0.9299999999999999,88.0,40.0,48.0,0.8706163419791518,0.8706163419791518,,0.0,0.0,61.96620703000658,100.0,14.519957447598822,94.38775510204083,100.0,100.00000000000007,-0.0,0.02714705882353008,0.9475736984560722,7.954545454545449,0.0,0.0,18.74999999999998
